Country,Date,Cases,Deaths,Tests,Cases/Population,Deaths/Cases,Tests/Cases
United States,2020-11-24,12710526.0,262026.0,193909978.0,0.03872798903107861,0.020614882499748632,15.255857861429181
United States,2020-11-25,12893929.0,264286.0,196134101.0,0.03928680377818403,0.020496933091534785,15.211352645109184
United States,2020-11-26,13006455.0,265672.0,197640862.0,0.03962966179159049,0.020426165315606752,15.195598031900314
United States,2020-11-27,13214388.0,267226.0,199152107.0,0.040263217550274226,0.02022235157617591,15.070853602906165
United States,2020-11-28,13370049.0,268591.0,200499781.0,0.040737504570383914,0.02008900640528692,14.996188944408505
United States,2020-11-29,13510377.0,269632.0,201651519.0,0.04116507312614259,0.019957400152490194,14.925676685410037
United States,2020-11-30,13670698.0,270980.0,203115708.0,0.04165355880560634,0.01982195788393541,14.85774230401403
United States,2020-12-01,13859037.0,273526.0,204957558.0,0.04222741316270567,0.019736291922736047,14.788730126054213
United States,2020-12-02,14061931.0,276343.0,207054159.0,0.04284561547836685,0.01965185293541833,14.724447090516943
United States,2020-12-03,14285352.0,279285.0,209200712.0,0.04352636197440585,0.01955044579930547,14.644421222522203
United States,2020-12-04,14517996.0,281981.0,211317494.0,0.044235210237659965,0.019422859739043872,14.555555325955456
United States,2020-12-05,14733807.0,284345.0,213008885.0,0.04489276965265082,0.01929881394537067,14.457151841340123
United States,2020-12-06,14915060.0,285705.0,214301757.0,0.04544503351614869,0.019155471047384322,14.36814582039898
United States,2020-12-07,15109469.0,287308.0,215840713.0,0.04603738269347959,0.01901509576544351,14.285128947946482
United States,2020-12-08,15333921.0,289930.0,217753341.0,0.046721270566727605,0.018907753600660913,14.200760588240934
United States,2020-12-09,15556569.0,293109.0,219875760.0,0.04739966179159049,0.018841493905243503,14.133949458907038
United States,2020-12-10,15787997.0,296103.0,222056091.0,0.04810480499695308,0.018754944024881686,14.06486782332173
United States,2020-12-11,16028086.0,299509.0,224110646.0,0.04883633759902498,0.018686510666339074,13.982371070382328
United States,2020-12-12,16245883.0,301983.0,225832090.0,0.04949994820231566,0.018588278642656726,13.900881226339006
United States,2020-12-13,16433854.0,303618.0,227080771.0,0.05007268129189518,0.018475155006245036,13.817864695645952
United States,2020-12-14,16628168.0,305274.0,228572055.0,0.05066474101157831,0.018358847468945467,13.74607563503087
United States,2020-12-15,16837160.0,308365.0,230514428.0,0.05130152346130408,0.018314549484592414,13.690814127798275
United States,2020-12-16,17083804.0,312045.0,232589421.0,0.052053028641072516,0.018265545542433054,13.614615398303563
United States,2020-12-17,17323704.0,315544.0,234639830.0,0.05278398537477148,0.018214580438455887,13.544437725327102
United States,2020-12-18,17575536.0,318513.0,236659678.0,0.05355129798903108,0.018122519848043327,13.465289365854902
United States,2020-12-19,17767638.0,321186.0,238369841.0,0.05413661791590493,0.018077022956005745,13.415955514176956
United States,2020-12-20,17955653.0,322916.0,239645381.0,0.05470948507007922,0.01798408556904057,13.346514381849548
United States,2020-12-21,18154356.0,324820.0,241171185.0,0.05531491773308958,0.01789212462287288,13.28448031976458
United States,2020-12-22,18352463.0,328216.0,243156560.0,0.05591853443022547,0.017884030061796063,13.249260330888557
United States,2020-12-23,18582087.0,331641.0,245433387.0,0.05661818098720293,0.0178473494392745,13.208063604481024
United States,2020-12-24,18776242.0,334540.0,247323306.0,0.057209756246191346,0.0178171968597337,13.172140942793558
United States,2020-12-25,18874122.0,335995.0,248395897.0,0.05750798903107861,0.017801887685159605,13.16065971174712
United States,2020-12-26,19100538.0,337884.0,249377252.0,0.058197861060329065,0.017689763502996617,13.05603287195366
United States,2020-12-27,19256383.0,339321.0,250313826.0,0.05867270871419866,0.01762122201246205,12.999005368765255
United States,2020-12-28,19430535.0,341329.0,251595942.0,0.05920333638025594,0.017566629019736203,12.948482478737718
United States,2020-12-29,19630943.0,344944.0,253451963.0,0.05981396404631322,0.017571443205759398,12.910839942839221
United States,2020-12-30,19864644.0,348736.0,255637367.0,0.06052603290676417,0.017555612876827796,12.868962917231238
United States,2020-12-31,20100244.0,352166.0,257557564.0,0.06124388787324802,0.01752048383094255,12.813653605399018
United States,2021-01-01,20254160.0,354299.0,258800833.0,0.06171285801340646,0.017492653361087303,12.777663107233279
United States,2021-01-02,20554622.0,356854.0,259909388.0,0.06262834247410116,0.01736125334730067,12.64481477693922
United States,2021-01-03,20763475.0,358307.0,260951077.0,0.0632647014015844,0.017256600833916287,12.567794022917647
United States,2021-01-04,20947480.0,360407.0,262344347.0,0.06382535039609993,0.01720526765033312,12.52390965404908
United States,2021-01-05,21182522.0,364095.0,264297572.0,0.06454150517976844,0.01718846320565606,12.477153192617951
United States,2021-01-06,21438159.0,367990.0,266616770.0,0.0653204113345521,0.017165186618869652,12.436551571429245
United States,2021-01-07,21716496.0,371996.0,268868987.0,0.06616848263254113,0.01712965111867034,12.38086415966922
United States,2021-01-08,22011753.0,376093.0,271013304.0,0.06706810786106034,0.017086008551885894,12.31220902760448
United States,2021-01-09,22272720.0,379397.0,272725897.0,0.06786325411334553,0.01703415658258174,12.2448401901519
United States,2021-01-10,22486135.0,381414.0,273885375.0,0.06851351310176722,0.016962185809166405,12.180189036488485
United States,2021-01-11,22700799.0,383515.0,275401765.0,0.06916757769652651,0.01689433926973231,12.131809325301722
United States,2021-01-12,22927766.0,387976.0,277421989.0,0.06985912858013406,0.016921666070737112,12.099826428793804
United States,2021-01-13,23158067.0,391971.0,279520802.0,0.07056083790371724,0.016925894548970775,12.070126664716879
United States,2021-01-14,23393833.0,395941.0,281589855.0,0.07127919865935405,0.016925016092916453,12.036926783225306
United States,2021-01-15,23636613.0,399850.0,283619193.0,0.07201893053016453,0.01691655229960401,11.999146958999583
United States,2021-01-16,23838471.0,403266.0,285200080.0,0.07263397623400365,0.016916605096023146,11.963857916894083
United States,2021-01-17,24016402.0,405166.0,286266935.0,0.07317611822059719,0.016870387162906418,11.919642875731343
United States,2021-01-18,24160000.0,406724.0,287551443.0,0.07361365021328459,0.016834602649006623,11.901963700331125
United States,2021-01-19,24336216.0,409432.0,289354448.0,0.07415056672760512,0.016823979537328237,11.889870142506954
United States,2021-01-20,24519477.0,413848.0,291477303.0,0.07470894881170018,0.01687833716844776,11.887582390113787
United States,2021-01-21,24713333.0,418034.0,293520121.0,0.07529961304082876,0.016915322591250642,11.87699453570265
United States,2021-01-22,24904093.0,421857.0,295435610.0,0.07588084399756247,0.016939263758772503,11.862933936200768
United States,2021-01-23,25074852.0,425227.0,296977855.0,0.07640113345521024,0.016958305476738208,11.843653354364763
United States,2021-01-24,25206050.0,427089.0,297976753.0,0.07680088360755637,0.01694390830772771,11.821636194485054
United States,2021-01-25,25357727.0,429069.0,299203028.0,0.07726303168799513,0.016920641191538972,11.799284218179334
United States,2021-01-26,25505353.0,433092.0,300976470.0,0.0777128366849482,0.016980435440356382,11.800521639516223
United States,2021-01-27,25659314.0,437036.0,303031140.0,0.078181943936624,0.017032255811671348,11.809791173684534
United States,2021-01-28,25828118.0,441048.0,304927778.0,0.07869627666057283,0.017076273230593107,11.806039371509764
United States,2021-01-29,25994731.0,444691.0,306761069.0,0.07920393357708715,0.01710696679261655,11.800894150433793
United States,2021-01-30,26137190.0,447485.0,308192526.0,0.07963799512492382,0.017120623907925833,11.791341226811298
United States,2021-01-31,26249342.0,449347.0,309136592.0,0.07997971358927483,0.017118410053859636,11.776927284501074
United States,2021-02-01,26384317.0,451426.0,310168805.0,0.080390971968312,0.017109633726732437,11.755801940978802
United States,2021-02-02,26499620.0,454852.0,311801259.0,0.08074229128580133,0.017164472547153507,11.766253968924838
United States,2021-02-03,26621311.0,458734.0,313670593.0,0.08111307434491163,0.017231833548693377,11.782687674547658
United States,2021-02-04,26745317.0,462480.0,315599256.0,0.08149091102985984,0.017291999193728008,11.800168829556217
United States,2021-02-05,26879739.0,466145.0,317428822.0,0.0819004844606947,0.017341872255530456,11.80922262675244
United States,2021-02-06,26983915.0,468828.0,318762055.0,0.08221790067032297,0.0173743506085014,11.81303954596655
United States,2021-02-07,27073661.0,470264.0,319590733.0,0.08249134978671542,0.01736979716189842,11.804488982853114
United States,2021-02-08,27164099.0,471884.0,320633167.0,0.08276690737355272,0.017371605073299136,11.80356348281605
United States,2021-02-09,27259364.0,474933.0,322325131.0,0.08305717245581962,0.017422746913684412,11.824381926152055
United States,2021-02-10,27354614.0,478237.0,323964015.0,0.08334739183424741,0.01748286413399948,11.84312142002808
United States,2021-02-11,27460378.0,481453.0,325379422.0,0.08366964655697745,0.0175326428500001,11.849051094635332
United States,2021-02-12,27560048.0,484380.0,326791618.0,0.08397333333333333,0.017575441087765886,11.857440088638452
United States,2021-02-13,27647267.0,486576.0,327893095.0,0.08423908287629495,0.01759942492688337,11.859873708312652
United States,2021-02-14,27712402.0,487747.0,328557015.0,0.08443754418037781,0.017600314833770093,11.855955864092907
United States,2021-02-15,27766681.0,488710.0,329355650.0,0.08460292809262644,0.017600591154556786,11.861541896202862
United States,2021-02-16,27829179.0,490463.0,330606301.0,0.0847933546617916,0.01762405567192622,11.879843850226411
United States,2021-02-17,27899318.0,492860.0,332077211.0,0.08500706276660573,0.01766566480227223,11.90269995130347
United States,2021-02-18,27969229.0,495376.0,333491939.0,0.0852200761730652,0.01771146426667678,11.923529926405909
United States,2021-02-19,28048511.0,498000.0,334845620.0,0.0854616422912858,0.017754953195198132,11.938088977343574
United States,2021-02-20,28120207.0,499835.0,335903991.0,0.08568009445460086,0.01777494027693324,11.945288702888993
United States,2021-02-21,28177359.0,501071.0,336587730.0,0.08585423217550274,0.017782752457389635,11.945325677967194
United States,2021-02-22,28233518.0,502390.0,337626639.0,0.08602534430225472,0.01779409848960374,11.958362362069083
United States,2021-02-23,28305788.0,504667.0,339270110.0,0.08624554539914686,0.017829109721305057,11.985891719389688
United States,2021-02-24,28380537.0,507849.0,340957685.0,0.08647329981718464,0.01789427028812034,12.013785539012176
United States,2021-02-25,28458041.0,510285.0,342569008.0,0.08670944850700792,0.017931135878256694,12.037687625792653
United States,2021-02-26,28535390.0,512363.0,344044968.0,0.08694512492382693,0.017955352984486982,12.056781701599313
United States,2021-02-27,28600016.0,513884.0,345119332.0,0.08714203534430226,0.017967961975965327,12.067102759662792
United States,2021-02-28,28651438.0,514976.0,345752427.0,0.08729871419865935,0.01797382735205123,12.06754184554367
United States,2021-03-01,28709536.0,516493.0,346746217.0,0.08747573430834857,0.017990294235336997,12.077736714379501
United States,2021-03-02,28766634.0,518436.0,348357929.0,0.08764970749542962,0.018022129387817845,12.10979112119965
United States,2021-03-03,28833825.0,520917.0,350094710.0,0.08785443327239488,0.018066177484256773,12.141806021226806
United States,2021-03-04,28901885.0,522839.0,351646841.0,0.08806180682510664,0.018090134951405417,12.166917175125429
United States,2021-03-05,28968304.0,524642.0,353077195.0,0.0882641803778184,0.018110898035314734,12.188397187491542
United States,2021-03-06,29026558.0,526152.0,354143550.0,0.08844167580743449,0.018126572223961242,12.200673259295849
United States,2021-03-07,29067631.0,526854.0,354752446.0,0.08856682205971968,0.018125109679560745,12.204381086301805
United States,2021-03-08,29112548.0,527591.0,355728869.0,0.08870368068251067,0.01812246045931809,12.219090853881976
United States,2021-03-09,29170215.0,529397.0,357269129.0,0.08887938756855576,0.018148546385414025,12.247737255279057
United States,2021-03-10,29228110.0,530967.0,358882424.0,0.08905578915295552,0.018166313182754548,12.278673646705176
United States,2021-03-11,29290581.0,532525.0,360379500.0,0.08924613345521024,0.018180759200372296,12.303596845689063
United States,2021-03-12,29352094.0,534069.0,361777736.0,0.08943355880560634,0.018195260617521872,12.325448944119625
United States,2021-03-13,29405125.0,535099.0,362802451.0,0.08959514015843997,0.01819747407977351,12.338068652998414
United States,2021-03-14,29443403.0,535683.0,363381398.0,0.08971177026203535,0.018193651053174796,12.341691549716586
United States,2021-03-15,29499944.0,536431.0,364327620.0,0.08988404631322365,0.01818413621395349,12.350112257840218
United States,2021-03-16,29553952.0,537611.0,365823588.0,0.09004860450944546,0.01819083281992202,12.378161404606734
United States,2021-03-17,29613232.0,538837.0,367438953.0,0.09022922608165752,0.01819581867997387,12.407931461179246
United States,2021-03-18,29673607.0,540483.0,368912285.0,0.09041318403412553,0.01821426697468899,12.43233709336381
